,date,open,high,low,close,volume
4631,2012-05-08,2100.708,2103.403,2083.119,2099.396,5666950400
4632,2012-05-09,2084.608,2084.608,2057.752,2059.316,5722988800
4633,2012-05-10,2058.855,2069.136,2054.887,2059.879,4918252000
4634,2012-05-11,2058.615,2066.259,2048.22,2049.34,4563435200
4635,2012-05-14,2060.904,2063.273,2034.643,2036.495,5095063200
4636,2012-05-15,2022.051,2029.214,2008.985,2028.081,4512357600
4637,2012-05-16,2023.3,2025.502,2003.596,2004.367,4328737600
4638,2012-05-17,2004.995,2030.834,2000.234,2027.767,4670096000
4639,2012-05-18,2016.252,2019.769,1992.734,1998.347,4434894000
4640,2012-05-21,1997.019,2018.357,1988.617,2008.727,4050652800
4641,2012-05-22,2016.03,2032.586,2015.829,2031.987,4306518400
4642,2012-05-23,2027.887,2033.724,2010.499,2022.507,4686523200
4643,2012-05-24,2018.418,2031.358,2005.976,2011.083,4630243600
4644,2012-05-25,2011.145,2014.719,1993.232,1999.229,4321425600
4645,2012-05-28,1989.01,2024.628,1971.761,2024.061,5528370400
4646,2012-05-29,2024.499,2051.602,2023.199,2047.71,6933470400
4647,2012-05-30,2045.11,2049.226,2036.165,2043.228,5097220800
4648,2012-05-31,2031.452,2045.119,2024.331,2035.732,4571740800
4649,2012-06-01,2036.603,2047.437,2025.242,2033.252,4484045600
4650,2012-06-04,2009.02,2010.366,1976.659,1976.997,5085004000
4651,2012-06-05,1980.479,1990.623,1973.975,1980.257,3720532400
4652,2012-06-06,1983.828,1990.284,1967.042,1974.234,3441137200
4653,2012-06-07,1987.853,1989.834,1952.576,1956.355,3427394400
4654,2012-06-08,1968.496,1969.19,1942.019,1947.354,3384508800
4655,2012-06-11,1946.062,1972.609,1942.564,1969.201,3306756200
4656,2012-06-12,1958.642,1960.223,1944.083,1952.04,3067770800
4657,2012-06-13,1955.498,1975.573,1946.971,1975.42,4114134400
4658,2012-06-14,1970.74,1980.805,1962.389,1964.741,3942228400
4659,2012-06-15,1967.025,1977.566,1947.918,1967.59,3710608800
4660,2012-06-18,1972.613,1988.053,1972.613,1978.859,3405649600
4661,2012-06-19,1976.769,1976.769,1960.845,1963.191,3631734400
4662,2012-06-20,1966.504,1970.483,1957.725,1959.807,3150679800
4663,2012-06-21,1954.492,1954.492,1924.027,1930.259,3230112800
4664,2012-06-25,1923.196,1923.311,1890.583,1891.715,3231234800
4665,2012-06-26,1884.403,1891.486,1868.528,1885.085,2997253200
4666,2012-06-27,1883.387,1896.493,1876.304,1878.757,2917150200
4667,2012-06-28,1882.001,1885.241,1854.766,1855.303,3269863800
4668,2012-06-29,1849.193,1877.65,1843.827,1876.683,3438184800
4669,2012-07-02,1888.351,1888.993,1869.927,1877.756,3689825200
4670,2012-07-03,1876.779,1893.039,1871.853,1881.83,3726578400
4671,2012-07-04,1886.906,1891.981,1872.756,1879.336,3416722400
4672,2012-07-05,1871.568,1871.568,1842.977,1850.351,3361152000
4673,2012-07-06,1856.818,1881.814,1841.499,1878.88,4334568000
4674,2012-07-09,1867.126,1871.972,1829.116,1830.424,4276441600
4675,2012-07-10,1826.041,1835.82,1814.891,1825.2,3464544800
4676,2012-07-11,1821.117,1843.228,1819.834,1842.599,3579721200
4677,2012-07-12,1839.191,1869.913,1825.063,1859.403,4701910400
4678,2012-07-13,1854.297,1868.966,1850.654,1856.823,3539210000
4679,2012-07-16,1857.282,1857.369,1816.581,1817.543,4096995600
4680,2012-07-17,1810.669,1827.55,1810.177,1823.958,3310383600
4681,2012-07-18,1820.716,1830.608,1803.527,1830.375,3618052000
4682,2012-07-19,1827.022,1855.391,1823.584,1843.903,4224300000
4683,2012-07-20,1840.111,1847.616,1824.275,1829.6,3519200400
4684,2012-07-23,1817.576,1817.576,1800.57,1808.074,2974096400
4685,2012-07-24,1799.211,1827.59,1798.209,1817.249,3006401800
4686,2012-07-25,1812.62,1822.003,1805.04,1809.171,2823526000
4687,2012-07-26,1808.385,1820.274,1799.03,1800.551,3160676800
4688,2012-07-27,1805.707,1810.245,1794.895,1801.997,2931561800
4689,2012-07-30,1800.448,1808.703,1782.715,1784.713,3022232800
4690,2012-07-31,1782.685,1787.356,1765.107,1766.105,3032016800
4691,2012-08-01,1765.688,1795.304,1765.254,1786.733,3040393400
4692,2012-08-02,1784.726,1790.487,1769.931,1776.754,2894089600
4693,2012-08-03,1778.017,1803.491,1773.791,1803.246,3045506400
4694,2012-08-06,1799.531,1832.383,1797.903,1830.39,4224480000
4695,2012-08-07,1828.981,1840.563,1827.928,1839.601,4617301600
4696,2012-08-08,1840.838,1848.123,1831.107,1836.965,4497510000
4697,2012-08-09,1836.24,1854.323,1827.249,1853.404,4408358400
4698,2012-08-10,1850.301,1850.968,1839.184,1842.819,4192727200
4699,2012-08-13,1838.398,1838.398,1818.424,1819.971,3915325600
4700,2012-08-14,1819.86,1828.554,1803.453,1826.427,3808553600
4701,2012-08-15,1822.649,1822.649,1804.634,1806.447,3207371600
4702,2012-08-16,1802.577,1809.07,1796.225,1798.192,2588974000
4703,2012-08-17,1797.629,1805.735,1787.566,1801.535,2530890000
4704,2012-08-20,1790.71,1799.314,1780.231,1796.024,2664058000
